 time            v(vout)        
 6.26280000e-03  1.33141746e-07 
 6.27280000e-03  1.33064716e-07 
 6.28280000e-03  1.32947000e-07 
 6.29280000e-03  1.32790386e-07 
 6.30280000e-03  1.32597481e-07 
 6.31280000e-03  1.32371270e-07 
 6.32280000e-03  1.32115465e-07 
 6.33280000e-03  1.31834046e-07 
 6.34280000e-03  1.31531592e-07 
 6.35280000e-03  1.31212811e-07 
 6.36280000e-03  1.30882858e-07 
 6.37280000e-03  1.30546858e-07 
 6.38280000e-03  1.30210220e-07 
 6.39280000e-03  1.29878152e-07 
 6.40280000e-03  1.29555981e-07 
 6.41280000e-03  1.29248666e-07 
 6.42280000e-03  1.28961125e-07 
 6.43280000e-03  1.28697760e-07 
 6.44280000e-03  1.28462783e-07 
 6.45280000e-03  1.28259762e-07 
 6.46280000e-03  1.28091958e-07 
 6.47280000e-03  1.27961884e-07 
 6.48280000e-03  1.27871660e-07 
 6.49280000e-03  1.27822589e-07 
 6.50280000e-03  1.27815532e-07 
 6.51280000e-03  1.27850499e-07 
 6.52280000e-03  1.27927047e-07 
 6.53280000e-03  1.28043885e-07 
 6.54280000e-03  1.28199297e-07 
 6.55280000e-03  1.28390766e-07 
 6.56280000e-03  1.28615409e-07 
 6.57280000e-03  1.28869624e-07 
 6.58280000e-03  1.29149541e-07 
 6.59280000e-03  1.29450683e-07 
 6.60280000e-03  1.29768430e-07 
 6.61280000e-03  1.30097698e-07 
 6.62280000e-03  1.30433407e-07 
 6.63280000e-03  1.30770169e-07 
 6.64280000e-03  1.31102765e-07 
 6.65280000e-03  1.31425836e-07 
 6.66280000e-03  1.31734359e-07 
 6.67280000e-03  1.32023337e-07 
 6.68280000e-03  1.32288270e-07 
 6.69280000e-03  1.32524837e-07 
 6.70280000e-03  1.32729363e-07 
 6.71280000e-03  1.32898477e-07 
 6.72280000e-03  1.33029573e-07 
 6.73280000e-03  1.33120448e-07 
 6.74280000e-03  1.33169745e-07 
 6.75280000e-03  1.33176570e-07 
 6.76280000e-03  1.33140908e-07 
 6.77280000e-03  1.33063228e-07 
 6.78280000e-03  1.32944867e-07 
 6.79280000e-03  1.32787617e-07 
 6.80280000e-03  1.32594086e-07 
 6.81280000e-03  1.32367263e-07 
 6.82280000e-03  1.32110863e-07 
 6.83280000e-03  1.31828866e-07 
 6.84280000e-03  1.31525856e-07 
 6.85280000e-03  1.31206540e-07 
 6.86280000e-03  1.30876078e-07 
 6.87280000e-03  1.30539596e-07 
 6.88280000e-03  1.30202504e-07 
 6.89280000e-03  1.29870013e-07 
